route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_load_information,wheelchair_accessible,bikes_allowed
2,2022_09_12-SU-MVS-Sunday-56,1346146,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310830,San Francisco International Airport,1,,1309522_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346150,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310799,San Francisco / Antioch,0,,1309621_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346148,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310829,San Francisco Int'l Airport / Millbrae,1,,1309522_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346152,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310798,San Francisco / Antioch,0,,1309621_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346151,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310828,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346155,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310797,San Francisco / Antioch,0,,1309621_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346153,San Francisco / Antioch,0,,1311440_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310796,San Francisco / Antioch,0,,1309621_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346154,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310827,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346157,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310795,San Francisco / Antioch,0,,1309621_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346156,San Francisco / Antioch,0,,1311440_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1310794,San Francisco / Antioch,0,,1309621_shp,,1,1
2,2022_09_12-SU-MVS-Sunday-56,1346159,San Francisco / Antioch,0,,1311440_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1310826,San Francisco Int'l Airport / Millbrae,1,,1309544_shp,,1,1
1,2022_09_12-SU-MVS-Sunday-56,1346158,San Francisco Int'l Airport / Millbrae,1,,1311375_shp,,1,1
